Year,state,city_or_county,KilledCount,InjuredCount
2018,Alabama,Athens,2,1
2018,Alabama,Atmore,2,1
2018,Alabama,Auburn,3,3
2018,Alabama,Bay Minette,1,3
2018,Alabama,Bessemer,5,6
2018,Alabama,Birmingham,27,39
2018,Alabama,Birmingham (Ensley),2,3
2018,Alabama,Decatur,3,5
2018,Alabama,Dothan,1,8
2018,Alabama,Eutaw,1,4
2018,Alabama,Fairfield,3,3
2018,Alabama,Fort Mitchell,1,2
2018,Alabama,Gadsden,5,4
2018,Alabama,Hayneville,1,1
2018,Alabama,Huntsville,8,18
2018,Alabama,Hurtsboro,2,2
2018,Alabama,Mobile,8,26
2018,Alabama,Mobile (Prichard),1,2
2018,Alabama,Montgomery,11,18
2018,Alabama,Opelika,3,3
2018,Alabama,Phenix City,2,1
2018,Alabama,Selma,3,1
2018,Alabama,Theodore,1,1
2018,Alabama,Trussville,1,1
2018,Alabama,Tuscaloosa,2,11
2018,Alabama,Union Springs,1,5
2018,Alabama,Warrior,1,1
2018,Alaska,Anchorage,5,11
2018,Arizona,Casa Grande,2,1
2018,Arizona,Florence,1,1
2018,Arizona,Glendale,6,6
2018,Arizona,Kingman,1,2
2018,Arizona,Laveen,1,1
2018,Arizona,Mesa,6,3
2018,Arizona,Phoenix,28,30
2018,Arizona,Scottsdale,4,2
2018,Arizona,Somerton,2,3
2018,Arizona,Tolleson,1,1
2018,Arizona,Tucson,16,14
2018,Arkansas,Brinkley,1,3
2018,Arkansas,Conway,1,1
2018,Arkansas,Fayetteville,1,2
2018,Arkansas,Fort Smith,1,3
2018,Arkansas,Helena,1,1
2018,Arkansas,Hot Springs National Park (Hot Springs),2,3
2018,Arkansas,Little Rock,9,34
2018,Arkansas,North Little Rock,7,7
2018,Arkansas,Pine Bluff,3,3
2018,Arkansas,Stuttgart,1,1
2018,Arkansas,Texarkana,1,1
2018,Arkansas,West Memphis,2,1
2018,California,Antioch,2,1
2018,California,Apple Valley,1,2
2018,California,Arvin,1,1
2018,California,Bakersfield,9,16
2018,California,Banning,2,2
2018,California,Bell,1,1
2018,California,Bellflower,3,1
2018,California,Coarsegold,1,1
2018,California,Daly City,2,2
2018,California,Delano,3,1
2018,California,Desert Hot Springs,1,2
2018,California,El Cajon,2,2
2018,California,Empire,1,2
2018,California,Fremont,2,5
2018,California,Fresno,9,35
2018,California,Half Moon Bay,2,1
2018,California,Hemet,1,3
2018,California,Hesperia,1,5
2018,California,Inglewood,2,2
2018,California,Long Beach,5,10
2018,California,Los Angeles,24,25
2018,California,Los Angeles (East Los Angeles),2,1
2018,California,Los Banos,1,1
2018,California,Madera,1,3
2018,California,Marysville (Linda),1,1
2018,California,Merced,2,1
2018,California,Modesto,1,11
2018,California,Moreno Valley,2,1
2018,California,Nevada City,1,1
2018,California,North Hollywood,2,2
2018,California,Norwalk,2,4
2018,California,Oakland,16,44
2018,California,Olivehurst,2,2
2018,California,Orange,2,1
